Ignoring roster for [Chungnam] in competition [2018 KeG Championship] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Medieval Riga] in competition [Hitpoint 2nd Division Challengers/2023 Season/Spring Qualifiers/Open Qualifier 3] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [eSuba Academy] in competition [Hitpoint 3rd Division/2024 Season/Spring Season] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Fly5 Academy] in competition [Hitpoint 3rd Division/2024 Season/Spring Season] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Maverix Academy] in competition [Hitpoint 3rd Division/2024 Season/Spring Season] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Repre Gold] in competition [Hitpoint 3rd Division/2024 Season/Spring Season] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [REViTAL BlackTrains] in competition [Hitpoint 3rd Division/2024 Season/Spring Season] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Team Kaizen] in competition [Hitpoint 3rd Division/2024 Season/Spring Season] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Team UNiTY Academy] in competition [Hitpoint 3rd Division/2024 Season/Spring Season] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Zeros Youngsters] in competition [Hitpoint 3rd Division/2024 Season/Spring Season] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Dark Tigers] in competition [Hitpoint Masters/2023 Season/Promotion] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [TBD] in competition [Hitpoint Masters/2024 Season/Spring Playoffs] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [TBD] in competition [Hitpoint Masters/2024 Season/Spring Playoffs] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [TBD] in competition [Hitpoint Masters/2024 Season/Spring Playoffs] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [TBD] in competition [Hitpoint Masters/2024 Season/Spring Playoffs] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [W3 players] in competition [Hitpoint Masters/Season 11 Qualifiers] as RL and R not equal: ['Necromartin', 'adcmaniac', 'Ducky5', 'dizzerrs', 'wraciik'] | Top
Ignoring roster for [eXtatus] in competition [Hitpoint Masters/Season 7 Qualifiers] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [NotEvenTroll] in competition [Hitpoint Masters/Season 7 Qualifiers] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [PlayForEver] in competition [Hitpoint Masters/Season 7 Qualifiers] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Typically Insecure Team of Samurais] in competition [Hitpoint Masters/Season 7 Qualifiers] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [confused] in competition [Huntress Trials EU Open/April] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [The Jackalopes] in competition [Huntress Trials EU Open/May] as RL and R not equal: ['Beastille', 'Valria', 'Wolfssi'] | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Tindastóll] in competition [Iceland Open/2020 Season/Main Event] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Fylkir Esports] in competition [Icelandic Esports League/2021 Season/Season 5] as RL and R not equal: ['Car', 'Gadget (Árni Geir Óskarsson)', 'Yordle Stomper', 'Karlmaður', 'Hafdal'] | ['Top', 'Jungle', 'Mid', 'Bot', 'Support', 'Coach']
Ignoring roster for [Jötunn Esports] in competition [Icelandic Esports League/2021 Season/Season 5] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Pongu Ice] in competition [Icelandic Esports League/2021 Season/Season 5] as RL and R not equal: Auldwen | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [sansdarotilamenug] in competition [Icelandic Esports League/2021 Season/Season 5] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Sveittir] in competition [Icelandic Esports League/2021 Season/Season 5 Major] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [TeamRampageCats] in competition [Icelandic Esports League/2021 Season/Season 5 Major] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Charge E-Sports] in competition [Icelandic Esports League/2021 Season/Season 6 Play-Ins] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Hegranes] in competition [Icelandic Esports League/2021 Season/Season 6 Play-Ins] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Ponyslaystation] in competition [Icelandic Esports League/2021 Season/Season 6 Play-Ins] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Somnio Gaming] in competition [Icelandic Esports League/Season 3 Challengers Major] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Fjórir Þágufallssjúkir og Eitt Skilnaðarbarn] in competition [Icelandic Esports League/Season 3 Challengers Minor] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Esports Gaming For Sale] in competition [Icelandic Esports League/Season 3 Masters Minor] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [FH eSports] in competition [Icelandic Esports League/Season 3 Masters Minor] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Make It Quick] in competition [Icelandic Esports League/Season 3 Masters Minor] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Diddi's Angels] in competition [Icelandic Esports League/Season 3 Open Minor] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Somnio Gaming] in competition [Icelandic Esports League/Season 3 Open Minor] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Pongu] in competition [Icelandic Esports League/Season 4 Masters Major] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Sveittir] in competition [Icelandic Esports League/Season 4 Masters Major] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [TBD] in competition [Icelandic Esports League/Season 4 Minor] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [TBD] in competition [Icelandic Esports League/Season 4 Minor] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [TBD] in competition [Icelandic Esports League/Season 4 Minor] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [TBD] in competition [Icelandic Esports League/Season 4 Minor] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [TBD] in competition [Icelandic Esports League/Season 4 Minor] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [TBD] in competition [Icelandic Esports League/Season 4 Minor] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Noobs Unleashed] in competition [Intel Arabian Cup 2020] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [5 Angry Birds] in competition [Intel Arabian Cup 2020/Bahrain/Split 1] as RL and R not equal: ['Arabsausage', 'Avril Lavignex', 'trolling101', 'varanis', 'Retreatless', 'zaytoona al7mra'] | 
Ignoring roster for [Agranu Esports] in competition [Intel Arabian Cup 2020/Bahrain/Split 1] as RL and R not equal: ['aut1stic urgot', 'Big Bad VooDoo', 'Dynamo', 'Big Bad Ownder', 'AutofiIL', 'Support (Bahrain Player)'] | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [I DONT KNOW] in competition [Intel Arabian Cup 2020/Bahrain/Split 1] as RL and R not equal: ['AdammBt', '2inch', 'Gayforu', 'NphdTobias', 'hMdOzBoyd', 'Malghoom'] | 
Ignoring roster for [Siren Esports] in competition [Intel Arabian Cup 2020/Bahrain/Split 1] as RL and R not equal: ['Big Bad Ringo', 'Skillful', 'NightFury', 'Noob in here', 'Alooy2298', 'Compleksity'] | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Venoms] in competition [Intel Arabian Cup 2020/Bahrain/Split 1] as RL and R not equal: ['Söul (Bahrain Player)', 'Nulesire', 'Naeheqiru', 'tinctures', 'MinimumFist', 'chemisorbed'] | 
Ignoring roster for [5 Angry Birds] in competition [Intel Arabian Cup 2020/Bahrain/Split 2] as RL and R not equal: ['Arabsausage', 'Avril Lavignex', 'trolling101', 'varanis', 'Retreatless', 'zaytoona al7mra'] | 
Ignoring roster for [Agranu Esports] in competition [Intel Arabian Cup 2020/Bahrain/Split 2] as RL and R not equal: ['aut1stic urgot', 'Big Bad VooDoo', 'Dynamo', 'Big Bad Ownder', 'AutofiIL', 'Support (Bahrain Player)'] | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [I DONT KNOW] in competition [Intel Arabian Cup 2020/Bahrain/Split 2] as RL and R not equal: ['AdammBt', '2inch', 'Gayforu', 'NphdTobias', 'hMdOzBoyd', 'Malghoom'] | 
Ignoring roster for [Siren Esports] in competition [Intel Arabian Cup 2020/Bahrain/Split 2] as RL and R not equal: ['Big Bad Ringo', 'Skillful', 'NightFury', 'Noob in here', 'Alooy2298', 'Compleksity'] | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Rise In Pandemic] in competition [Intel Arabian Cup 2020/Kuwait] as RL and R not equal: ['chain (Kuwaiti Player)', 'artista', 'Without a planet', 'Oz RmeshH', 'Shadow StylÈe', 'FujieX', 'just bad supports'] | 
Ignoring roster for [Team Alpha] in competition [Intel Arabian Cup 2020/Kuwait] as RL and R not equal: ['Aipha Kuronii', 'vChYale', 'boosted oppai', 'patput', 'i am thegreatest', 'RingoNight', 'iKAmelia'] | 
Ignoring roster for [Win After Win] in competition [Intel Arabian Cup 2020/Kuwait] as RL and R not equal: ['DrewnJtI', 'DËATH SENTENCE', 'XtraTasty', 'Lozux', '9x mid ff15 plz', 'shinegami0'] | 
Ignoring roster for [TBD] in competition [Intel Arabian Cup 2020/Qatar/Split 1] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [TBD] in competition [Intel Arabian Cup 2020/Qatar/Split 1] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [TBD] in competition [Intel Arabian Cup 2020/Qatar/Split 1] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [TBD] in competition [Intel Arabian Cup 2020/Qatar/Split 1] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [TBD] in competition [Intel Arabian Cup 2020/Qatar/Split 2] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [TBD] in competition [Intel Arabian Cup 2020/Qatar/Split 2] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [TBD] in competition [Intel Arabian Cup 2020/Qatar/Split 2] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [TBD] in competition [Intel Arabian Cup 2020/Qatar/Split 2] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [TBD] in competition [Intel Arabian Cup 2020/Saudi Arabia/Split 1] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [TBD] in competition [Intel Arabian Cup 2020/Saudi Arabia/Split 1] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [TBD] in competition [Intel Arabian Cup 2020/United Arab Emirates/Split 1] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Infernal Void MENA] in competition [Intel Arabian Cup Competitors League/2021 Season/Season 1] as RL and R not equal: ['BartonaR', 'Julio v1', 'Typical Player', 'Harib', 'Chexster', 'Beyond (Ahmed Yousef AlSuwaidi)'] | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Royal Knights Esports] in competition [Intel Arabian Cup Competitors League/2021 Season/Season 2] as RL and R not equal: ['Norolife', 'Bùcks Bunny', 'LEBANON Flamer', 'Yoxena', 'Nimsha', 'Mugen'] | ['Top', 'Jungle', 'Mid', 'Bot']
Ignoring roster for [Siren Esports] in competition [Intel Arabian Cup Competitors League/2021 Season/Season 2] as RL and R not equal: ['Bloodthrister', 'sensei ownder', 'Skillful', 'Sleek (Abbas Qarooni)', 'Mangoo', 'NoobInHere'] | ['Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [SUPREMACY (Moroccan Team)] in competition [Intel Arabian Cup Competitors League/2021 Season/Season 2] as RL and R not equal: ['Abdulla', 'Killua San', 'Admiral (Saad Lahrabzi)', 'βowloxer', 'exooR'] | ['Top', 'Mid', 'Bot', 'Support']
Ignoring roster for [MAD PHOENIX] in competition [Intel Arabian Cup Competitors League/2021 Season/Season 3] as RL and R not equal: ['Bąrréłs', 'Race', 'Killua San', 'Mano (Egyptian Player)', 'Maax', 'Diesel (Ramzi Djebbar)'] | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [TBD] in competition [Intel Arabian Cup Playground Division/2022 Season/GCC and Iraq/Season 2] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Mvp Gaming Team] in competition [Intel Arabian Cup Playground Division/2022 Season/Levant and Egypt/Season 1] as RL and R not equal: ['Zero0o', 'Nakimura', 'EkkosZed', 'Mune', 'KoKo ZAKI', 'LEBANON Flamer'] | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Death Cluster Immortals] in competition [Intel Arabian Cup Prestige Division/2022 Season/Qualifiers 2] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [level up] in competition [Intel Arabian Cup Prestige Division/2022 Season/Qualifiers 2] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [LTUD] in competition [Intel Arabian Cup Prestige Division/2022 Season/Qualifiers 2] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Chunnam Techno University] in competition [International E-sports Festival 2020] as RL and R not equal: ['Vvia', 'GoTnT', 'Nara', 'TwoZeroIron', 'superbear', 'Jollin'] | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Keio University] in competition [International E-sports Festival 2020] as RL and R not equal: ['bayaba', 'Autumn (Japanese Player)', 'Kayou', 'Yurae', 'Switch (Japanese Player)', 'Kotori', 'yukiame0', 'Sowhaaaaat'] | ['Top', 'Jungle', 'Mid', 'Mid', 'Bot', 'Support', 'Coach']
Ignoring roster for [Asia Pacific University of Technology &amp; Innovation] in competition [International E-sports Festival 2021] as RL and R not equal: ['soonz19', 'aggressive', 'Jaegers', 'QiuXuan', 'TORONTOTOKYO', 'xSuu'] | 
Ignoring roster for [Asia Pacific University of Technology &amp; Innovation T2] in competition [International E-sports Festival 2021] as RL and R not equal: ['nicsman', 'Soru', 'Huskieeeee', 'Nicolai', 'Crust', 'ThunderCaT', 'god sim', 'kyzo'] | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Bulbasaurs Buds] in competition [International E-sports Festival 2021] as RL and R not equal: ['Felis', 'Ducks go quack', 'eleventh', 'surprise butt', 'Yuukki'] | 
Ignoring roster for [CTU Pathos] in competition [International E-sports Festival 2021] as RL and R not equal: ['호빵맨머리미식가', 'Re2n', 'a1w4ys', '박주성', '승원'] | 
Ignoring roster for [Hanoi University of Mining and Geology] in competition [International E-sports Festival 2021] as RL and R not equal: ['Octopus (Vietnamese Player)', 'Zenky', 'hoangditrongmua', 'ndatuss', 'Vanh Reborn'] | 
Ignoring roster for [LG Hydra] in competition [International E-sports Festival 2021] as RL and R not equal: ['Yobhel', 'Swapito', 'Smexy', 'Znake', 'Kieghron', 'Andrew', 'Nes'] | 
Ignoring roster for [Multimedia University] in competition [International E-sports Festival 2021] as RL and R not equal: ['Excro', 'JerRoam', 'Jacky', 'Marcusgoi88', 'ZackPanda', 'XZ', 'kyan'] | 
Ignoring roster for [Nanyang Polytechnic] in competition [International E-sports Festival 2021] as RL and R not equal: ['Babylife', 'Tykee', 'Adria', 'Baymin', 'bwisy'] | 
Ignoring roster for [ORGLESS (Filipino Team)] in competition [International E-sports Festival 2021] as RL and R not equal: ['Relevancez', 'Pride (Filipino Player)', 'Painshell', 'Leomarc', 'Proxyllion', 'Usagi', 'Sauce'] | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Run Down Mid] in competition [International E-sports Festival 2021] as RL and R not equal: ['Aeyy', 'DumFist', 'ivyyyy', 'ท่อเดิม', 'KEonG', 'Darkpeem', 'Shout'] | Coach
Ignoring roster for [SSANDBOX] in competition [International E-sports Festival 2021] as RL and R not equal: ['자르반버프좀', '안재민', 'MIn', '좀 끌어라', 'dhrhkddjs', '김성준'] | 
Ignoring roster for [UTCC ESPORTS] in competition [International E-sports Festival 2021] as RL and R not equal: ['Cat Neix', 'มะขาม', 'Koby (Thai Player)', 'Meawqo', 'Aqua (Thai Player)'] | 
Ignoring roster for [Waseda University] in competition [International E-sports Festival 2021] as RL and R not equal: ['karashi', 'AIM4', 'Ltaso', 'SIR CAT QAQ', 'sunleaf', 'Legacy (Japanese Player)', 'at (Japanese Player)'] | ['Top', 'Bot']
Ignoring roster for [We are HUBT] in competition [International E-sports Festival 2021] as RL and R not equal: ['Fidelma', 'CCL', 'ngon', 'Rem (Vietnamese Player)', 'hokcobic', 'miscedence', 'Zacolo', 'Netherite'] | 
Ignoring roster for [Ypsilos] in competition [International E-sports Festival 2021] as RL and R not equal: ['Ceeeentd', 'Corks', 'Mwel', 'vie1si'] | 
Ignoring roster for [Bulbasaurs Buds] in competition [International E-sports Festival 2022] as RL and R not equal: ['Lim Chin Wee Ryan', 'Low Zan Hao', 'Tang Ming Shan', 'Quek Yan Jun Jerome', 'Fong Yi Fei'] | 
Ignoring roster for [DaLat University] in competition [International E-sports Festival 2022] as RL and R not equal: ['Nguyễn Việt Duy Mạnh', 'Trương Quang Tuấn', 'Trần Hoàng Luân', 'Lệ Đại Hải Nam', 'Đinh Lâm Gia Bảo'] | 
Ignoring roster for [e-shout] in competition [International E-sports Festival 2022] as RL and R not equal: ['진윤호', '남윤서', '표성재', '김민혁', 'Asin', '진형오'] | Support
Ignoring roster for [Gray Wolf] in competition [International E-sports Festival 2022] as RL and R not equal: ['Zhang ZheWen', 'Hu JunSong', 'Wang Wei', 'Chen ShiLin', 'Shi ShuangChen', 'Tong ChongYang'] | 
Ignoring roster for [HCMC University of Economics and Finance] in competition [International E-sports Festival 2022] as RL and R not equal: ['Trần Anh Đức', 'Tôn Thất Hùng', 'Đinh Hoàng Đăng', 'Nguyễn Thiện Tâm', 'Lương Thành An'] | 
Ignoring roster for [Henan Sias LK] in competition [International E-sports Festival 2022] as RL and R not equal: ['Liu JiXin', 'Li JianQi', 'Deng WenHui', 'Liu ZhaoJun', 'Shi CunZhuang', 'Fu JiaHao'] | 
Ignoring roster for [Hunan KO NICE] in competition [International E-sports Festival 2022] as RL and R not equal: ['Li YongFeng', 'Liu Chao', 'Luo JiaRong', 'Fu DingYuan', 'Song Kang'] | 
Ignoring roster for [Long Li Yuumi] in competition [International E-sports Festival 2022] as RL and R not equal: ['Wang SiQi', 'Huang MinMin', 'Chen Yi', 'Xiang YiTong', 'Peng QiaoYu', 'Wang YaoJi'] | 
Ignoring roster for [Mongolia (National Team)] in competition [International E-sports Festival 2022] as RL and R not equal: ['Sergelen Puntsag', 'Ganselem Battushig', 'Tsogt-Erdene Bold-Erdene', 'Turmandakh Dulguun', 'Darikhuu Khasbaatar'] | 
Ignoring roster for [Panic Time] in competition [International E-sports Festival 2022] as RL and R not equal: ['Aloit Reven Lhi', 'Retance Jan Raphael', 'Mendoza John Daniel', 'Hortizuela Jan Edward', 'Tabujara Steb Jason'] | ['Top', 'Jungle', 'Support']
Ignoring roster for [ROX (Korean Student Team)] in competition [International E-sports Festival 2022] as RL and R not equal: ['김의현', '문익현', 'Seunghwan (Lee Seung-hwan)', 'Just (Park Dong-hyun)', '김진우', 'Oculus'] | ['Jungle', 'Jungle', 'Support']
Ignoring roster for [Seven Warlords of the Sea] in competition [International E-sports Festival 2022] as RL and R not equal: ['조광훈', '심은호', '송제우', '오동건', '이명성'] | 
Ignoring roster for [Shadow Academy] in competition [International E-sports Festival 2022] as RL and R not equal: ['Ming9 (Kim Min-woo)', 'DDoiV', 'Noticed', 'About', 'Nia'] | ['Top', 'Jungle', 'Mid', 'Support']
Ignoring roster for [Team Joker] in competition [International E-sports Festival 2022] as RL and R not equal: ['Soon Zhen Suan', 'Lee Kwok Hey', 'Chau Hou Meng', 'Chay Gao Xiong', 'Teng Yi Sheng'] | 
Ignoring roster for [Team ToDs] in competition [International E-sports Festival 2022] as RL and R not equal: ['Bùi Quang Thanh', 'Trần Kiên Nguyên', 'Huỳnh Phương Duy', 'Nguyễn Trần Tấn Đạt', 'Đặng Trọng Tấn'] | 
Ignoring roster for [UI Rawrrr] in competition [International E-sports Festival 2022] as RL and R not equal: ['Pakia Rizki Andi David', 'William Nicholas', 'Solo Ibrahim Hasan Daeng', 'Anlay Naufal Abiyyu', 'Prasetya Bhawika Kinennara'] | 
Ignoring roster for [Waseda LoL Circle] in competition [International E-sports Festival 2022] as RL and R not equal: ['Tsuboyama Masaki', 'Kawai Alaric- Yohei', 'Otaki Hiroki', 'Kanazawa Aoki', 'Shimane Shuntaro'] | 
Ignoring roster for [HCMC University of Economics and Finance] in competition [International E-sports Festival 2023] as RL and R not equal: ['Trần Anh Đức', 'Đinh Hoàng Đăng', 'Tôn Thất Hưng', 'Lương Thành An', 'Nguyễn Thiện Tâm'] | 
Ignoring roster for [Jeonbuk University] in competition [International E-sports Festival 2023] as RL and R not equal: ['KIM DAOL', 'KIM YOUNGJAE', 'SEOK GIHUN', 'JU EUNBEOM', 'HA WOOJIN'] | 
Ignoring roster for [Malaysia (National Team)] in competition [International E-sports Festival 2023] as RL and R not equal: ['Lee Kwok Hey', 'Koh Zhu Yen', 'Teng Yi Sheng', 'Lee Vei Chern', 'Chau Hou Meng'] | 
Ignoring roster for [Mongolia (National Team)] in competition [International E-sports Festival 2023] as RL and R not equal: ['ORGILBOLD TELMUUN', 'ZORIGTBAATAR JAVKHLAN', 'CHULUUNTOGTOKH CHINTOGTOKH', 'ENKHBOLD BATTUSHIG', 'ULZIIDELGER GANBAT'] | 
Ignoring roster for [Panic Time] in competition [International E-sports Festival 2023] as RL and R not equal: ['Deveza Godwill Ezekiel Paragua', 'Alfonso Van Matthew Ignacio Alfonso', 'Bravo Lorenzo Magno', 'Ramos Alejandro Patrick Endoma', 'Rosario Rhod Aian Michael'] | 
Ignoring roster for [Team NUS] in competition [International E-sports Festival 2023] as RL and R not equal: ['Low Zan Hao', 'Low Jiang Wen', 'Darren Oh Ger Wei', 'Ryan Lim Chin Wee', 'Fong Yi Fei'] | 
Ignoring roster for [Yuumi (Chinese Team)] in competition [International E-sports Festival 2023] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [苏州霹雳虫] in competition [International E-sports Festival 2023] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [霹雳虫电竞] in competition [International E-sports Festival 2023] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [ACJ (Korean Team)] in competition [International E-sports Festival 2023/Korea Qualifiers] as RL and R not equal: ['ON (이용민)', 'Toye', '딸기따르트으', 'm1d', '1218입대점수뿌림'] | Jungle
Ignoring roster for [BTW (Korean Team)] in competition [International E-sports Festival 2023/Korea Qualifiers] as RL and R not equal: ['Olympus IO', '슈퍼빅고수', 'MNMNNMNNMM', '도게자형 미드', 'Cozy (Korean Player)'] | 
Ignoring roster for [fighting genius] in competition [International E-sports Festival 2023/Korea Qualifiers] as RL and R not equal: ['국가최종전력', 'N4N1', 'DaLyKiйg', 'Yun Woo Bin', '머가조을꼬'] | 
Ignoring roster for [JF (Korean Team)] in competition [International E-sports Festival 2023/Korea Qualifiers] as RL and R not equal: ['누가 최고야', 'momeйt', '투정꾼', '리신 버프좀요'] | 
Ignoring roster for [UDS LEVEL 01] in competition [International E-sports Festival 2023/Korea Qualifiers] as RL and R not equal: ['N0guri', 'dontdiecanwin', '주머니 속 송곳', '댕같이 사망', 'finis ultimus'] | 
Ignoring roster for [UDS LEVEL 02] in competition [International E-sports Festival 2023/Korea Qualifiers] as RL and R not equal: ['예티 익충이', '두루주 빛날희', '손풀기 ID', '비행가', '1kyo', '무뼈갈비치킨'] | 
Ignoring roster for [광렬버필] in competition [International E-sports Festival 2023/Korea Qualifiers] as RL and R not equal: ['먼저띠로', '정용기', '혀내민스님', '맨날졸려요', '설대장', '빠킁'] | 
Ignoring roster for [안철순 전바지] in competition [International E-sports Festival 2023/Korea Qualifiers] as RL and R not equal: ['꼬마딩구리', '바닐라라떼좋아해', '도티몽홍보대사', 'Lee89', '푸딩마니먹기', '김쵸코비'] | 
Ignoring roster for [이세계아이돌] in competition [International E-sports Festival 2023/Korea Qualifiers] as RL and R not equal: ['비챤의아이', '희희멍멍', 'fundamental', 'Jang Geon', '텅 빈 하늘 위', '하루두잔커피필수'] | 
Ignoring roster for [정글원맨팀] in competition [International E-sports Festival 2023/Korea Qualifiers] as RL and R not equal: ['DoctorOfTFT', 'luv u still', '두둔둔댱', 'InV Chaeng', '밥5그릇먹는사람'] | 
Ignoring roster for [LOS PANAS] in competition [Irrechipstible Cup 2021/Qualifier 1] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Busan] in competition [KeG League/2023 Season/Championship] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Daejeon] in competition [KeG League/2023 Season/Championship] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Gwangju] in competition [KeG League/2023 Season/Championship] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Gyeonggi] in competition [KeG League/2023 Season/Championship] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
